"4114, Pirn Conference, kg","5744, Pirn Conference, 1 kg","Pirn Conference pakitud 1 kg, Holland","Pirn CONFERENCE suur 1kl., kg","Pirn COMICE suur 1kl., kg","219059, Pirn Conference 1kl kg","285538, Pirn Lucas 1kl, kg","933791, Pirn Conference pakitud väike 2kl 1kg","934778, Pirn Migo 1kl kg","Pirn CONFERENCE suur 2kl., kg","211732, Pirn Angelys 1kl kg","269177, Pirn Packham, kg","Pirn Conference pakitud, 1kg","Pirn GUYOT 1kl., kg","214958, Pirn Guyot kg","297319, Pirn Conference 1kl, kg Rimi","940916, Pirn Qtee kg","Pirn CONFERENCE 1kl, kg","214958, Pirn Guyot 1kl, kg","940916, Pirn Qtee 1kl, kg","4116, Pirn Abate, kg"
0.99,2.49,1.89,1.09,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.09,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.09,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.09,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.09,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.09,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.59,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.59,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.59,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.59,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.59,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
1.59,2.49,1.89,1.59,1.99,1.59,1.59,1.49,2.49,1.59,3.79,1.99,1.39,1.99,1.99,1.69,3.49,0.95,1.99,3.49,2.99
